Site	ARZO1									
Date	6-Jul-10									
										
Point	Class	x	y	dFromPerpendicular	dRectified	d+/-	dFinal	z	zRectified	zFinal
ARZO1	CTRL	0	0	7.229062249	7.229062249	7.229062249	45.85718885	0	0	
WLLB	CTRL	0	0	7.229062249	7.229062249	7.229062249	45.85718885	0	0	
WLLB1	MEAS	0.007	8.966	1.737152267	1.737152267	1.737152267	40.36527887	-0.74	-0.74	
ARZO1M	MEAS	0.082	8.204	0.976385682	0.976385682	0.976385682	39.60451229	-0.599	-0.599	
ARZO2M	MEAS	0.03	7.229	0	0	0	38.62812661	-0.59	-0.59	
ARZO4M	MEAS	0.708	5.461	1.893543768	1.893543768	-1.893543768	36.73458284	-0.508	-0.508	
ARZO8M	MEAS	1.756	1.726	5.767329105	5.767329105	-5.767329105	32.8607975	-0.115	-0.115	
ARZO9	MEAS	3.116	-1.857	9.595769485	9.595769485	-9.595769485	29.03235712	0.06	0.06	
ARZO10	MEAS	3.708	-3.919	11.73906248	11.73906248	-11.73906248	26.88906412	0.659	0.659	
ARZO16M	MEAS	4.123	-5.36	13.23765727	13.23765727	-13.23765727	25.39046934	1.199	1.199	
ARZO12	MEAS	5.554	-8.465	16.63779469	16.63779469	-16.63779469	21.99033192	1.984	1.984	
ARZO13	MEAS	5.526	-10.116	18.194918	18.194918	-18.194918	20.43320861	1.752	1.752	
ARZO14	MEAS	5.614	-11.653	19.69037785	19.69037785	-19.69037785	18.93774875	2.882	2.882	
ARZO15	MEAS	5.474	-12.048	20.03097264	20.03097264	-20.03097264	18.59715396	3.213	3.213	
ARZBS2	NONE	1	1	6.304073366	6.304073366	-6.304073366	32.32405324	1	4.213	
ARZO16	MEAS	-0.879	-8.835	0	24.92393746	-24.92393746	13.70418914	-0.241	2.972	
ARZO17	MEAS	-3.703	-5.586	4.30476213	29.2286996	-29.2286996	9.39942701	-0.18	3.033	
ARZO32M	MEAS	-6.174	-4.141	7.076062535	32	-32	6.628126605	1.516	4.729	
ARZO33	MEAS	-7.963	-2.932	9.221088059	34.14502552	-34.14502552	4.483101081	3.177	6.39	
ARZO36M	MEAS	-8.925	-2.845	10.03086317	34.95480064	-34.95480064	3.673325967	4.316	7.529	
ARZO37	MEAS	-11.799	-0.555	13.70418914	38.62812661	-38.62812661	0	4.651	7.864	
W1	MEAS	6.043	1.301	2.209114981	1.737152267	1.737152267	40.36527887	-0.393	-0.446	
W2	MEAS	9.851	3.404	6.450705698	5.978742984	5.978742984	44.60686959	-0.478	-0.531	
W3	MEAS	14.599	5.068	11.3576922	10.88572948	10.88572948	49.51385609	-0.717	-0.77	
W4	MEAS	17.759	6.717	14.92135801	14.4493953	14.4493953	53.07752191	-0.983	-1.036	
W5	MEAS	20.908	7.88	18.2496203	17.77765758	17.77765758	56.40578419	-1.122	-1.175	
W6	MEAS	23.239	9.21	20.9308211	20.45885839	20.45885839	59.08698499	-0.988	-1.041	
WLRB	MEAS	24.161	10.913	22.5589961	22.08703339	22.08703339	60.71515999	-0.684	-0.737	
WLRB1	MEAS	24.149	10.946	24.40373435	23.93177163	23.93177163	62.55989824	-0.687	-0.74	
WLRB2	NONE	1	1	16.9569939	41.88876553	41.88876553	80.51689213	1	2.74	
ARZORB1M	MEAS	16.849	7.029	0	24.93177163	24.93177163	63.55989824	-3.347	-0.64	
ARZORB2M	MEAS	16.005	6.829	0.867373045	25.79914468	25.79914468	64.42727128	-2.996	-0.289	
ARZORB4M	MEAS	14.21	6.483	2.694890907	27.62666254	27.62666254	66.25478914	-2.555	0.152	
ARZORB8M	MEAS	10.338	5.745	6.636397893	31.56816953	31.56816953	70.19629613	-1.791	0.916	
ARZORB16M	MEAS	3.227	2.585	14.32857355	39.26034518	39.26034518	77.88847179	-0.637	2.07	
ARZORB32M	MEAS	-10.055	-5.413	29.64166966	54.57344129	54.57344129	93.20156789	1.553	4.26	
ARZORB40M	MEAS	-13.471	-7.635	33.67989454	58.61166617	58.61166617	97.23979277	4.74	7.447	
WS1	MEAS	15.452	-27.336	37.84940302	37.84940302	-37.84940302		0.138		
WS2	MEAS	13.285	-23.155	33.14939639	33.14939639	-33.14939639		0.16		
WS3	MEAS	11.469	-17.489	27.23656081	27.23656081	-27.23656081		0.032		
WS4	MEAS	8.653	-11.541	20.65596836	20.65596836	-20.65596836		0.041		
WS5	MEAS	5.187	-7.503	15.60853846	15.60853846	-15.60853846		-0.05		
WS6	MEAS	4.653	-0.416	8.934100626	8.934100626	-8.934100626		-0.233		
WS7	MEAS	4.382	5.982	4.527130769	4.527130769	-4.527130769		-0.439		
WS8	MEAS	1.861	11.994	5.104682752	5.104682752	-5.104682752		-0.632		
WS9	MEAS	-5.728	13.493	8.50836412	8.50836412	-8.50836412		-0.684		
WS10	MEAS	-12.239	16.002	15.08290058	15.08290058	-15.08290058		-0.721		
WS11	MEAS	-20.768	17.189	23.05988734	23.05988734	-23.05988734		-0.708		
WS12	MEAS	-28.092	18.608	30.33691687	30.33691687	-30.33691687		-0.78		
TH1	MEAS	22.397	-22.37	37.09964272	37.09964272	-37.09964272		-0.436		
TH2	MEAS	22.618	-18.277	34.07013032	34.07013032	-34.07013032		-0.468		
TH3	MEAS	20.132	-12.676	28.28956396	28.28956396	-28.28956396		-0.458		
TH4	MEAS	20.005	-9.856	26.2849358	26.2849358	-26.2849358		-0.562		
TH5	MEAS	18.152	-5.762	22.29737574	22.29737574	-22.29737574		-0.66		
TH6	MEAS	18.527	-1.203	20.32824717	20.32824717	-20.32824717		-0.672		
TH7	MEAS	17.456	4.054	17.71287952	17.71287952	-17.71287952		-0.91		
TH8	MEAS	19.207	10	19.376165	19.376165	-19.376165		-1.107		
TH9	MEAS	17.19	15.252	18.94291765	18.94291765	-18.94291765		-1.328		
TH10	MEAS	11.799	18.814	16.5142843	16.5142843	-16.5142843		-1.438		
TH11	MEAS	6.538	19.74	14.10245316	14.10245316	-14.10245316		-1.364		
TH12	MEAS	-0.588	21.556	14.34032263	14.34032263	-14.34032263		-1.293		
TH13	MEAS	-3.545	19.951	13.21476103	13.21476103	-13.21476103		-1.53		
TH14	MEAS	-10.359	20.902	17.17213586	17.17213586	-17.17213586		-1.823		
