Site	BOLZ1									
Date	4-Jul-10									
										
Point	Class	x	y	dFromWLRB1	dRectified	d+/-	dFinal	z	zRectified	zFinal
WLRB1	MEAS	-0.006	37.489	0	0	0	45.63884785	-1.479	-1.479	0
3M	MEAS	0.024	33.19	4.299104674	4.299104674	4.299104674	49.93795252	-1.119	-1.119	0.36
12	MEAS	-0.411	25.899	11.59707398	11.59707398	11.59707398	57.23592183	-1.002	-1.002	0.477
16M	MEAS	-0.646	21.418	16.0837384	16.0837384	16.0837384	61.72258625	-1.075	-1.075	0.404
20	MEAS	-0.56	17.827	19.66980325	19.66980325	19.66980325	65.3086511	-1.04	-1.04	0.439
25	MEAS	-0.485	12.957	24.53667592	24.53667592	24.53667592	70.17552377	-0.619	-0.619	0.86
32M	MEAS	-0.441	5.656	31.83597201	31.83597201	31.83597201	77.47481986	-0.197	-0.197	1.282
40	MEAS	-0.692	-4.457	41.95160917	41.95160917	41.95160917	87.59045702	0	0	1.479
41	MEAS	-0.851	-6.216	43.71316792	43.71316792	43.71316792	89.35201577	0.241	0.241	1.72
42	MEAS	-0.871	-7.684	45.18128101	45.18128101	45.18128101	90.82012886	0.064	0.064	1.543
49	MEAS	-0.33	-13.893	51.38302151	51.38302151	51.38302151	97.02186936	0.107	0.107	1.586
64ROAD	MEAS	-1.06	-22.382	59.88027686	59.88027686	59.88027686	105.5191247	0.175	0.175	1.654
68M	MEAS	-2.355	-28.338	65.86889805	65.86889805	65.86889805	111.5077459	0.426	0.426	1.905
75	MEAS	-3.166	-36.385	73.94155446	73.94155446	73.94155446	119.5804023	0.486	0.486	1.965
90ROAD	MEAS	-4.594	-50.137	87.74602908	87.74602908	87.74602908	133.3848769	0.43	0.43	1.909
110	MEAS	-5.569	-62.856	100.4990845	100.4990845	100.4990845	146.1379324	0.307	0.307	1.786
128M	MEAS	-3.978	-89.283	126.8342098	126.8342098	126.8342098	172.4730576	-0.397	-0.397	1.082
128MREALHT	MEAS	-1.12	-24.994	0	126.8342098	126.8342098	172.4730576	-0.633	-0.397	1.082
145M	MEAS	2.798	-9.116	16.35425351	143.1884633	143.1884633	188.8273111	-0.403	-0.167	1.312
146TERRACE	MEAS	3.12	-8.226	17.29576318	144.129973	144.129973	189.7688208	-0.117	0.119	1.598
128RODUP	MEAS	-1.136	-25.009	0.021931712	126.8561415	126.8561415	172.4949893	-0.624	-0.388	1.091
153	MEAS	2.715	-0.424	24.86749133	151.7017011	151.7017011	197.3405489	-0.074	0.162	1.641
154	MEAS	2.817	-0.029	25.27352753	152.1077373	152.1077373	197.7465852	-0.152	0.084	1.563
155M	MEAS	3.055	0.417	25.75169016	152.5858999	152.5858999	198.2247478	-0.097	0.139	1.618
157	MEAS	1.035	2.745	27.82258338	154.6567932	154.6567932	200.295641	0.458	0.694	2.173
160	MEAS	1.307	4.297	29.39137646	156.2255862	156.2255862	201.8644341	-0.176	0.06	1.539
175	MEAS	2.258	6.149	31.32566572	158.1598755	158.1598755	203.7987233	0.418	0.654	2.133
176M	MEAS	2.738	11.451	36.64863148	163.4828412	163.4828412	209.1216891	1.583	1.819	3.298
W10	MEAS	0.147	37.225	0.305131119	0.305131119	-0.305131119	45.33371673	0.21	-1.479	0
W11	MEAS	0.1	35.414	2.077705706	2.077705706	-2.077705706	43.56114214	0.204	-1.485	-0.006
W12	MEAS	-0.072	31.617	5.872370901	5.872370901	-5.872370901	39.76647695	-0.017	-1.706	-0.227
W13	MEAS	-0.06	27.735	9.754149476	9.754149476	-9.754149476	35.88469837	-0.192	-1.881	-0.402
W14	MEAS	-0.115	23.801	13.68843399	13.68843399	-13.68843399	31.95041386	-0.398	-2.087	-0.608
W15	MEAS	-0.215	21.477	16.01336395	16.01336395	-16.01336395	29.6254839	-0.5	-2.189	-0.71
W16	MEAS	-0.132	19.594	17.89544358	17.89544358	-17.89544358	27.74340427	-0.491	-2.18	-0.701
W17	MEAS	-0.114	17.832	19.65729669	19.65729669	-19.65729669	25.98155116	-0.421	-2.11	-0.631
W18	MEAS	-0.128	16.038	21.45134693	21.45134693	-21.45134693	24.18750092	-0.4	-2.089	-0.61
W19	MEAS	-0.216	14.137	23.35294423	23.35294423	-23.35294423	22.28590362	-0.294	-1.983	-0.504
W20	MEAS	-0.242	11.826	25.66408512	25.66408512	-25.66408512	19.97476273	-0.241	-1.93	-0.451
W21	MEAS	0.035	9.624	27.86503016	27.86503016	-27.86503016	17.77381769	-0.217	-1.906	-0.427
W22	MEAS	-0.182	7.146	30.34351043	30.34351043	-30.34351043	15.29533742	-0.109	-1.798	-0.319
W23	MEAS	-0.174	4.567	32.92242865	32.92242865	-32.92242865	12.7164192	-0.095	-1.784	-0.305
W24	MEAS	-0.104	2.573	34.91613753	34.91613753	-34.91613753	10.72271032	-0.072	-1.761	-0.282
W25	MEAS	0.002	0.969	36.52000088	36.52000088	-36.52000088	9.118846973	-0.081	-1.77	-0.291
WLLB	AVGE	-2.291	-0.845	38.40204137	38.40204137	-38.40204137	7.236806484	0.505	-1.184	0.295
WLLB1	MEAS	-2.257	-0.833	38.38805394	38.38805394	-38.38805394	7.250793913	0.516	-1.173	0.306
2M	AVGE	0.707	-1.901	39.39645249	39.39645249	-39.39645249	6.242395357	1.987	0.298	1.777
1M	AVGE	0.116	-1.228	38.71719221	38.71719221	-38.71719221	6.921655634	1.392	-0.297	1.182
1M1	MEAS	0.166	-1.337	38.82638098	38.82638098	-38.82638098	6.812466869	1.386	-0.303	1.176
2M2	MEAS	0.76	-2.102	39.59840953	39.59840953	-39.59840953	6.040438323	1.981	0.292	1.771
3M2	MEAS	1.435	-3.988	41.50202417	41.50202417	-41.50202417	4.136823682	3.305	1.616	3.095
8M	AVGE	1.496	-7.2	44.71423403	44.71423403	-44.71423403	0.924613818	4.691	3.002	4.481
8M2	MEAS	1.51	-7.218	44.73269615	44.73269615	-44.73269615	0.906151697	4.691	3.002	4.481
9M2	MEAS	1.406	-8.128	45.63884785	45.63884785	-45.63884785	0	4.817	3.128	4.607
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
BELG1	REF	0	0	37.48900048	37.48900048	37.48900048		0	0	
