Vermessungsbuero	XXX	Auftrag										
Strasse	98											
12345	Irgendwo											
												
Job:	ISLA1	Name:										
Datum:10.07.2010												
Geraet:	TCRA1205+											
												
PNR	Class	CodeID	Rechts	Hoch	eHoehe	oHoehe	rms	E	rms	N	rms	H
---------------------------------------------------------------------------------------------------												
	ARZO1	REF	--------	0	0	1	0	0	0	0		
	1.RB8M	MEAS	--------	-113.72	17.67	1	0.69	0.005	0.003	0.003		
	1.RB4M	MEAS	--------	-112.332	17.708	1	0.74	0.005	0.003	0.003		
	1.RB2M	MEAS	--------	-110.385	17.533	1	0.552	0.005	0.003	0.003		
	1.RB1M	MEAS	--------	-109.576	17.308	1	0.371	0.005	0.003	0.003		
	1.WLRB	MEAS	--------	-107.958	16.649	1	-0.259	0.005	0.003	0.003		
	1.W1	MEAS	--------	-107.356	16.611	1	-0.418	0.005	0.003	0.003		
	1.W2	MEAS	--------	-106.835	16.639	1	-0.553	0.005	0.003	0.003		
	1.W3	MEAS	--------	-106.014	16.575	1	-0.553	0.005	0.003	0.003		
	1.W4	MEAS	--------	-105.494	16.551	1	-0.304	0.005	0.003	0.003		
	1.WLLB	MEAS	--------	-105.501	16.52	1	-0.309	0.005	0.003	0.003		
	1.LB1M	MEAS	--------	-104.343	16.263	1	-0.093	0.005	0.003	0.003		
	1.LB2M	MEAS	--------	-103.361	16.279	1	-0.074	0.005	0.003	0.003		
	1.LB4M	MEAS	--------	-101.277	15.817	1	-0.079	0.005	0.003	0.003		
	2.RB8M	MEAS	--------	-99.422	15.455	1	-0.09	0.005	0.003	0.003		
	2.RB4M	MEAS	--------	-95.388	14.844	1	0.045	0.005	0.003	0.003		
	2.RB2M	MEAS	--------	-93.399	14.393	1	-0.016	0.005	0.003	0.003		
	2.RB1M	MEAS	--------	-92.428	14.358	1	0.034	0.005	0.003	0.003		
	2.WLRB	MEAS	--------	-90.892	13.962	1	-0.413	0.005	0.003	0.003		
	2.W1	MEAS	--------	-89.88	13.959	1	-0.469	0.005	0.003	0.003		
	2.W2	MEAS	--------	-89.803	13.963	1	-0.468	0.005	0.003	0.003		
	2.W3	MEAS	--------	-88.774	13.84	1	-0.425	0.005	0.003	0.002		
	2.W4	MEAS	--------	-87.458	13.698	1	-0.39	0.005	0.003	0.002		
	2.WLLB	MEAS	--------	-86.381	13.492	1	-0.353	0.005	0.002	0.002		
	2.LB1M	MEAS	--------	-85.463	13.217	1	-0.279	0.005	0.002	0.002		
	2.LB2M	MEAS	--------	-84.654	13.146	1	-0.198	0.005	0.002	0.002		
	2.LB4M	MEAS	--------	-82.547	12.767	1	-0.125	0.005	0.002	0.002		
	2.LB8M	MEAS	--------	-78.618	12.157	1	0.198	0.005	0.002	0.002		
	2.LB16M	MEAS	--------	-70.609	10.916	1	0.227	0.005	0.002	0.002		
	2.LB1	MEAS	--------	-65.944	10.098	1	0.26	0.005	0.002	0.002		
	2.LB2	MEAS	--------	-61.514	9.405	1	0.212	0.005	0.002	0.002		
	3.RB16M	MEAS	--------	-57.692	8.868	1	0.244	0.005	0.002	0.001		
	3.RB1	MEAS	--------	-54.491	8.329	1	0.095	0.005	0.001	0.001		
	3.RB2	MEAS	--------	-51.754	7.986	1	0.063	0.005	0.001	0.001		
	3.RB8M	MEAS	--------	-49.726	7.808	1	-0.082	0.005	0.001	0.001		
	3.RB4	MEAS	--------	-47.599	7.345	1	-0.179	0.005	0.001	0.001		
	3.RB4M	MEAS	--------	-45.704	7.184	1	-0.219	0.005	0.001	0.001		
	3.RB2M	MEAS	--------	-43.702	6.839	1	-0.247	0.005	0.001	0.001		
	3.RB1M	MEAS	--------	-42.752	6.652	1	-0.347	0.005	0.001	0.001		
	3.WLRB	MEAS	--------	-41.716	6.264	1	-0.538	0.005	0.001	0.001		
	3.W1	MEAS	--------	-40.682	6.28	1	-0.732	0.005	0.001	0.001		
	3.W2	MEAS	--------	-39.761	6.35	1	-0.764	0.005	0.001	0.001		
	3.W3	MEAS	--------	-38.269	6.174	1	-0.751	0.005	0.001	0.001		
	3.W4	MEAS	--------	-36.752	5.982	1	-0.624	0.005	0.001	0.001		
	3.WLLB	MEAS	--------	-35.631	5.776	1	-0.553	0.005	0.001	0.001		
	3.LB1M	MEAS	--------	-34.759	5.678	1	-0.476	0.005	0.001	0.001		
	3.LB2M	MEAS	--------	-33.834	5.543	1	-0.472	0.005	0.001	0.001		
	3.LB4M	MEAS	--------	-31.894	5.189	1	-0.335	0.005	0.001	0.001		
	3.LB8	MEAS	--------	-29.551	4.811	1	-0.328	0.004	0.001	0		
	4.RB4M	MEAS	--------	-27.87	4.701	1	-0.34	0.004	0.001	0		
	4.RB2M	MEAS	--------	-25.851	4.448	1	-0.373	0.004	0.001	0		
	4.RB1M	MEAS	--------	-24.901	4.282	1	-0.461	0.004	0.001	0		
	4.WLRB	MEAS	--------	-23.756	4.245	1	-0.564	0.004	0.001	0		
	4.W1	MEAS	--------	-22.541	4.024	1	-0.7	0.004	0.001	0		
	4.W2	MEAS	--------	-20.884	3.936	1	-0.761	0.004	0.001	0		
	4.W3	MEAS	--------	-18.975	3.721	1	-0.859	0.004	0.001	0		
	4.W4	MEAS	--------	-16.881	3.614	1	-0.848	0.004	0.001	0		
	4.W5	MEAS	--------	-14.307	3.385	1	-0.849	0.004	0.001	0		
	4.W6	MEAS	--------	-11.475	3.044	1	-1.001	0.004	0.001	0		
	4.W7	MEAS	--------	-9.246	2.587	1	-1.118	0.004	0.001	0		
	4.W8	MEAS	--------	-7.827	2.15	1	-0.98	0.004	0.001	0		
	4.WLLB	MEAS	--------	-6.877	1.908	1	-0.534	0.004	0.001	0		
	4.LB1M	MEAS	--------	-5.748	1.679	1	-0.002	0.004	0.001	0		
	4.LB2M	MEAS	--------	-5.042	1.453	1	0.027	0.004	0.001	0		
	4.LB4M	MEAS	--------	-3.097	1.519	1	0.008	0.004	0.002	0		
	4.LB8M	MEAS	--------	0.836	1.355	1	-0.025	0.002	0.004	0		
	5.RB16M	MEAS	--------	7.176	2.138	1	-0.06	0.004	0.001	0		
	5.RB8M	MEAS	--------	15.706	1.191	1	-0.183	0.005	0	0		
	5.RB4M	MEAS	--------	19.44	-0.957	1	-0.353	0.005	0	0		
	5.RB2M	MEAS	--------	21.667	-1.867	1	-0.406	0.005	0	0		
	5.RB1M	MEAS	--------	23.591	-3.031	1	-0.473	0.005	0.001	0		
	5.WLRB	MEAS	--------	25.045	-3.247	1	-0.466	0.005	0.001	0		
	5.W1	MEAS	--------	25.667	-3.501	1	-0.524	0.005	0.001	0		
	5.W2	MEAS	--------	26.15	-3.885	1	-0.475	0.004	0.001	0		
	5.W3	MEAS	--------	26.62	-4.348	1	-0.551	0.004	0.001	0		
	5.W4	MEAS	--------	26.988	-4.714	1	-0.537	0.004	0.001	0		
	5.W5	MEAS	--------	27.294	-5.172	1	-0.527	0.004	0.001	0		
	5.W6	MEAS	--------	27.816	-5.603	1	-0.549	0.004	0.001	0		
	5.W7	MEAS	--------	29.093	-5.976	1	-0.536	0.004	0.001	0		
	5.W8	MEAS	--------	30.486	-6.261	1	-0.453	0.004	0.001	0.001		
	5.W9	AVGE	--------	32.068	-6.497	1	-0.444	0.004	0.001	0.001		
	5.W10	MEAS	--------	33.546	-6.817	1	-0.408	0.004	0.001	0.001		
	5.W11	MEAS	--------	35.479	-6.699	1	-0.381	0.004	0.001	0.001		
	5.W12	MEAS	--------	37.525	-6.677	1	-0.348	0.005	0.001	0.001		
	5.W13	MEAS	--------	39.781	-6.487	1	-0.325	0.005	0.001	0.001		
	5.W14	MEAS	--------	42.054	-6.683	1	-0.33	0.005	0.001	0.001		
	5.W15	MEAS	--------	44.285	-6.452	1	-0.315	0.005	0.001	0.001		
	5.W16	MEAS	--------	46.172	-6.57	1	-0.329	0.005	0.001	0.001		
	5.W17	MEAS	--------	47.989	-6.949	1	-0.292	0.005	0.001	0.001		
	5.W18	MEAS	--------	50.065	-7.45	1	-0.288	0.005	0.001	0.001		
	5.W19	MEAS	--------	51.799	-7.747	1	-0.275	0.005	0.001	0.001		
	5.W20	MEAS	--------	52.995	-8.12	1	-0.244	0.005	0.001	0.001		
	5.WLLB	MEAS	--------	53.807	-8.556	1	-0.219	0.005	0.001	0.001		
	5.WLLBPERP2RB	MEAS	--------	26.663	-9.423	1	-0.474	0.004	0.001	0		
	5.LB1M	MEAS	--------	55.127	-8.851	1	-0.188	0.005	0.002	0.001		
	5.LB2M	MEAS	--------	56.027	-9.273	1	-0.172	0.005	0.002	0.001		
	5.LB4M	MEAS	--------	57.65	-10.139	1	-0.162	0.005	0.002	0.001		
	5.LB8M	MEAS	--------	61.294	-11.772	1	-0.082	0.005	0.002	0.002		
	6.RB16M	MEAS	--------	63.097	-12.979	1	-0.025	0.005	0.002	0.002		
	6.RB8M	MEAS	--------	71.162	-13.009	1	0.134	0.005	0.002	0.002		
	6.RB4M	MEAS	--------	75.424	-13.58	1	-0.064	0.005	0.002	0.002		
	6.RB2M	MEAS	--------	77.298	-14.09	1	-0.243	0.005	0.002	0.002		
	6.RB1M	MEAS	--------	78.303	-14.32	1	-0.328	0.005	0.002	0.002		
	6.WLRB	MEAS	--------	79.369	-14.758	1	-0.443	0.005	0.002	0.002		
	6.WLLB	MEAS	--------	149.221	-29.591	1	-0.261	0.005	0.005	0.005		
	6.LB1M	MEAS	--------	150.283	-30.209	1	-0.239	0.005	0.005	0.005		
	6.LB2M	MEAS	--------	151.504	-30.737	1	-0.198	0.005	0.005	0.005		
	6.LB4M	MEAS	--------	153.224	-31.419	1	-0.198	0.005	0.005	0.005		
	6.LB8M	MEAS	--------	156.917	-33.016	1	-0.1	0.005	0.005	0.005		
	6.LB16M	MEAS	--------	164.98	-36.095	1	0.082	0.005	0.005	0.005		
	6.LB32M	MEAS	--------	182.688	-39.597	1	0.24	0.005	0.006	0.006		
	6.LB64M	MEAS	--------	217.415	-52.797	1	0.807	0.005	0.007	0.007		
